Instructor	ID	Average Rating	Total number of rating	Key Phrases
Tim Flaherty	44203	3.7	63	formal math class<>huge class<>worst class I<>structured lectures<>professor Flaherty<>college math<>weird guy<>excessive amounts of time<>decent professor<>high school math<>proofs of theorems<>good professor<>interesting professor<>summer course<>course structure<>Best teacher<>Weird sense of humor<>Course content wasn<>clear explanations<>Studied topology<>Friday nights<>WebAssigns Friday mornings<>times confusing<>theory-heavy proofs<>things weren<>Crystal clear explanation of subject<>actual lecture material<>inconsistent teacher<>overcrowded OH<>cute dog<>lot of stuff<>funny guy<>optimal order<>standard calc<>monotonous voice<>great lecturer<>life passion<>HW difficulty<>humorous way<>okay job
David Kosbie	1179629	4.8	59	class time<>difficult class<>favorite class<>class interesting<>great class structure<>best class I<>fairly easy class<>Professor Kosbie<>great teacher<>difficult course i<>Favorite professor<>challenging course<>incredible professor<>phenomenal professor<>easy grading professor<>helpful professor imaginable<>inspirational lectures<>good sense of humor<>Fundamentals of Programming<>entire time<>good intentions<>David Kosbie<>lot of people<>character building<>greatest teacher<>double majoring<>having social anxiety<>better person<>hes awesome<>s super understanding<>Computer Science<>new view<>best professors<>flipped classroom<>kind of thing<>possible chance<>helpful feedback<>challenging homework<>entire education<>academic career<>productive stress
Greg Kesden	276590	3.0	49	hard class<>Class lectures<>class interesting<>Great class<>Awesome class<>class act<>t thorough<>good professor<>annoying professor I<>worst professor<>I don<>s late<>Lecture style<>hitting students<>graduate students<>I didn<>lecture material<>lecture slides<>s apt<>student couldn<>GPA student<>extremely hard labs<>good grade<>good instructor<>good exceptions<>excessive handholding<>using metaphors<>funny stories<>Chinese textbook<>group projects<>busy taking care of tons of workload<>fairly engaging stories<>stress level<>single instruction<>practice exams<>massive waste<>Unclear instructions<>grading scheme<>Puts effort<>large scale classes<>frivolous complaints<>office hours<>attention teaching style<>throwing things<>lot of learning<>faulty projector<>temperamental issues<>programming experience<>subject matter<>Great teacher<>little boy
Steven Klepper	955	3.99	45	CLASS I<>econ class<>hardest class<>Tough class<>Hard class<>easy class<>class discussions<>real class<>teacher I<>weeks of Klepper<>excellent teacher<>s tough<>best professors<>excellent brilliant teacher<>s pretty knowledgeable<>BEST lecturer<>best teachers<>I didn<>textbook homework<>including schedules<>AP credit<>smarter students<>extra variables<>new situations<>easiest classes<>freshman schedule<>engineering person<>variety of current issues<>final test<>AP Macro<>hardest exam ive<>hottest professors<>AP Micro<>interesting guy<>Business majors<>Biggest mistake
Helmut Vogel	68839	4.5	40	Professor Vogel<>Best physics professor<>great professor<>caring professor<>absolute favorite professor<>amazing class<>Vogel Math<>s class does<>class moves<>taking Physics<>class experiments<>week of class<>actual class<>physics-phobic student<>awesome teacher<>difficult concepts<>high school physics<>brilliant teacher<>office hours<>best teachers I<>s fantastic<>amazing teacher<>good teacher<>s friendly<>s super accessible<>wonderful personality<>best professors<>BEST guy<>fast pace<>i didn<>challenging material<>brilliant man<>ve hd<>personal level<>german grandpa<>Future Presidents
Russ Walker	67155	3.29	38	class average<>student outside of class<>nice guy<>smart smart guy<>time outside of class needs<>math problems<>Russ Walkers class<>Funny guy<>t finish problems<>s great<>good teacher<>guy - throws chocolate<>nice likable guy<>time teaching things<>lackluster teacher<>frequent simple math errors<>ways of teaching things<>pretty decent teacher<>lot of little errors<>engaging teacher<>sample problems<>worst teacher i<>lot of individual effort<>review sheets<>number of basic errors<>teaching sink<>year old boy<>review sessions<>practice test<>actual test<>nice professor<>clear voice<>office hours<>planet Earth<>walking embodiment<>choosing TA<>droning monotonous fashion<>Great job<>bit boring<>playboy magazine<>high school<>amazing character<>summarizing sheets<>important stuff<>Easy exams<>correct answers
Tom Sullivan	25619	3.9	37	hard exams<>hard class<>good professor<>Great professor<>weeder course<>s helpful<>good style<>Crystal clear lectures<>hard time<>cool guy<>s okay<>hardest course<>People fall asleep<>good job of teaching<>great practice<>lot of stuff<>t suit<>hottest professor<>t understimate HW2<>hes tough guy<>individual problems<>ECE major<>office hours<>smart students<>fact taht<>Long assignments<>Dislike new textbook<>Supplemental Instruction<>Physics II knowledge<>long midterms<>N16 semester<>electrical engineing<>conceptual level<>slippery slope<>complicated diagrams<>ur able<>kind of confusing<>best lecturer<>unpredictable amplitude<>average score
Victor Adamchik	56824	3.3	35	online class<>nice class<>hard class<>large class<>thick accent<>thick Russian accent<>Polish accent<>online lecture<>good lecturer<>good man<>good grade<>good questions<>good lectures<>s critical<>good teacher<>t care<>tough material<>homework assignments<>Posts lecture notes online<>Data structures<>big lecture hall<>poor ratings don<>quizzes tests<>providing videotaped lecture<>Great sense of humor<>homework problems<>perfect sense<>I didn<>Subject matter<>Adamchik teaching<>fluent English<>posting grades<>clearing concepts
Gregory Johnson	1342725	4.1	33	s nice<>s condescending<>cuz lectures<>s opportunity<>Greggo isn<>class tougher<>clear lectures<>class avg<>recitation worksheets<>extra credit problems<>nice teacher<>detailed examples<>Great professor<>fast-paced course<>applying material<>Gives extra-credit problems<>I don<>basic examples<>Gives extra credit<>hard teacher<>great feedback<>clear professor<>math professor<>good teacher<>tricky concepts<>excellent professor<>best professors I<>great supplement<>newer concepts<>communicating concepts<>human beings I<>past knowledgetheoremscreating proofs<>nice guy<>practice problems<>Multivariable calculus<>detailed comments<>lecture style<>office hours<>grading policies<>student feedback<>extensive exam reviews<>painful note<>Homework assignments<>good lecturer<>little intimidating<>bad lecturer<>high school<>ranking university<>bunch of paragraphs<>clearer teachers<>theory based
Paul Karol	94547	2.75	32	minutes of class<>easier class<>great teacher<>class BIG TIME<>great guy yo<>s confusing<>great setup<>great example<>pop quizzes<>nice guy<>honors chem<>lectures don<>lots of practice quizzes<>intro chem<>Random pop-quizzes<>good professor<>demotivating waste of time<>affable professor<>past tests<>bad professor<>Chem II<>best TA i<>favorite professor<>tons of practice exams<>misleading curve<>office hours<>greatest teacher<>dizzy blindfolded monkey<>clear teacher<>motivating teacher<>homework examples<>powerpoint presentations<>tuition money<>modern way<>expectations crystal<>periodic table<>text book<>Monotone voice<>SI sessions<>optional final<>nice man<>previous years
